Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement Rate
3/31/2023 19:55,CSGO,TWITTER,N/A ,0,0,Text,
3/31/2023 19:49,CSGO,TWITTER,N/A ,0,0,Text,
3/31/2023 19:49,CSGO,TWITTER,N/A ,0,0,Text,
3/31/2023 19:49,CSGO,TWITTER,N/A ,0,0,Text,
3/31/2023 19:43,CSGO,TWITTER,Community Engagement ,9517,1215,Video,
3/31/2023 19:42,CSGO,TWITTER,N/A ,0,0,Photo,
3/31/2023 19:40,CSGO,TWITTER,Community Engagement ,1882,83,Photo,
3/31/2023 19:23,CSGO,TWITTER,Community Engagement ,17892,3076,Video,
3/31/2023 19:15,CSGO,TWITTER,N/A ,0,0,Video,
3/31/2023 18:55,CSGO,TWITTER,Community Engagement ,13874,1447,Video,
3/31/2023 18:36,General ,FBPAGE,Community Engagement ,37692,8044,Photo,21.34139871
3/31/2023 18:30,DOTA2,TWITTER,N/A ,1013,153,Link,
3/31/2023 18:28,DOTA2,TWITTER,N/A ,4630,339,Photo,
3/31/2023 18:21,CSGO,TWITTER,Community Engagement ,2289,41,Photo,
3/31/2023 17:11,General ,TWITTER,Community Engagement ,5216,113,Text,2.166411043
3/31/2023 17:09,CSGO,TWITTER,Community Engagement ,841,13,Photo,
3/31/2023 16:50,General ,TWITTER,Community Engagement ,6498,123,Text,1.89289012
3/31/2023 16:50,General ,TWITTER,Community Engagement ,8321,133,Text,1.598365581
3/31/2023 16:38,General ,TWITTER,Community Engagement ,953,36,Text,3.777544596
3/31/2023 16:38,General ,TWITTER,N/A ,0,0,Photo,#DIV/0!
3/31/2023 16:22,DOTA2,TWITTER,Community Engagement ,954,28,Photo,
3/31/2023 16:22,General ,FBPAGE,Community Engagement ,42328,8936,Photo,21.11132111
3/31/2023 16:20,General ,TWITTER,Community Engagement ,28260,1018,Photo,3.602264685
3/31/2023 15:59,CSGO,TWITTER,Community Engagement ,3793,72,Photo,
3/31/2023 15:48,General ,TWITTER,Community Engagement ,1927,155,Text,8.043591074
3/31/2023 15:27,DOTA2,TWITTER,N/A ,766,15,Text,
3/31/2023 15:27,General ,TWITTER,Community Engagement ,20434,231,Text,1.130468826
3/31/2023 15:11,DOTA2,TWITTER,N/A ,1242,28,Video,
3/31/2023 14:52,General ,TWITTER,Community Engagement ,311,10,Video,3.215434084
3/31/2023 14:46,General ,TWITTER,Community Engagement ,33768,350,Photo,1.036484245
3/31/2023 14:44,DOTA2,TWITTER,N/A ,1154,23,Photo,
3/31/2023 14:42,General ,TWITTER,Community Engagement ,362,8,Text,2.209944751
3/31/2023 14:41,DOTA2,TWITTER,N/A ,762,23,Photo,
3/31/2023 14:40,General ,TWITTER,Community Engagement ,14123,166,Photo,1.175387666
3/31/2023 14:30,DOTA2,TWITTER,N/A ,21,3,Text,
3/31/2023 14:27,DOTA2,TWITTER,N/A ,612,7,Text,
3/31/2023 14:27,General ,INSTAGRAM,Community Engagement ,5579,0,Photo,0
3/31/2023 14:16,DOTA2,TWITTER,N/A ,1048,42,Photo,
3/31/2023 14:09,DOTA2,TWITTER,N/A ,0,0,Photo,
3/31/2023 14:05,DOTA2,TWITTER,Community Engagement ,8619,288,Photo,
3/31/2023 14:05,General ,FBPAGE,Community Engagement ,17222,952,Photo,5.527813262
3/31/2023 14:03,General ,TWITTER,Community Engagement ,40108,540,Photo,1.346364815
3/31/2023 13:36,General ,INSTAGRAM,Evergreen ,1257,18,Video,1.431980907
3/31/2023 13:36,General ,TIKTOK_BUSINESS,Evergreen ,145,4,Video,2.75862069
3/31/2023 13:09,General ,TWITTER,Community Engagement ,2332,61,Video,2.615780446
3/31/2023 13:00,DOTA2,TWITTER,Community Engagement ,441,23,Photo,
3/31/2023 13:00,DOTA2,TWITTER,Community Engagement ,7403,168,Photo,
3/31/2023 13:00,General ,FBPAGE,Community Engagement ,36197,5408,Photo,14.94046468
3/31/2023 12:00,General ,INSTAGRAM,Community Engagement ,16930,499,Photo,2.947430597
3/31/2023 12:00,General ,TWITTER,Community Engagement ,11682,167,Photo,1.429549735
3/31/2023 11:30,General ,FBPAGE,Community Engagement ,13774,1396,Photo,10.13503703
3/31/2023 11:30,General ,FBPAGE,Community Engagement ,13774,1396,Photo,10.13503703
3/31/2023 11:30,General ,FBPAGE,Community Engagement ,27547,2791,Photo,10.13177478
3/31/2023 11:30,DOTA2,TWITTER,Community Engagement ,2829,265,Photo,
3/31/2023 10:02,General ,TWITTER,N/A ,0,0,Text,#DIV/0!
3/31/2023 9:28,General ,INSTAGRAM,Evergreen ,12911,157,Video,1.21601735
3/31/2023 9:28,General ,TIKTOK_BUSINESS,Evergreen ,923,44,Video,4.767063922
3/31/2023 8:36,DOTA2,TWITTER,N/A ,338,14,Photo,
3/31/2023 8:35,DOTA2,TWITTER,N/A ,0,0,Photo,
3/30/2023 18:42,CSGO,TWITTER,Community Engagement ,998,20,Photo,
3/30/2023 17:35,CSGO,TWITTER,Community Engagement ,1322,12,Photo,
3/30/2023 17:08,CSGO,TWITTER,Community Engagement ,1416,231,Video,
3/30/2023 17:02,General ,TWITTER,N/A ,0,0,Video,#DIV/0!
3/30/2023 16:52,General ,YOUTUBE,N/A ,0,0,Video,#DIV/0!
3/30/2023 16:50,DOTA2,YOUTUBE,N/A ,0,0,Video,
3/30/2023 16:49,DOTA2,YOUTUBE,N/A ,0,0,Video,
3/30/2023 16:33,General ,FBPAGE,Community Engagement ,21273,1994,Photo,9.373384102
